Kanton,BAG_Region,Franchise,Modell,Krankenkasse,Jahr,Praemie,Modell_Franchise
BE,BE1_BAG,2500,GV_Hausarzt,Sympany - Vivao,2018,308.75,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,Visana,2017,348.9,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Wincare,2016,545.8,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,KMU-Krankenversicherung,2016,411.7,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Slkk,2019,424.6,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,KK Steffisburg,2019,489.9,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,CSS - Arcosana,2019,503.1,GV_OKP_300
BE,BE1_BAG,2500,GV_Hausarzt,CSS - Arcosana,2021,319.2999878,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,Sumiswalder KK,2022,354.2999878,GV_Telmed_2500
BE,BE1_BAG,300,GV_HMO,Atupri,2022,466.7999878,GV_HMO_300
BE,BE1_BAG,2500,GV_Hausarzt,KPT,2020,344.6000061,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_HMO,Sanitas,2020,305.75,GV_HMO_2500
BE,BE1_BAG,300,GV_Hausarzt,Provita,2022,510.2499847,GV_Hausarzt_300
BE,BE1_BAG,300,GV_OKP,Vivacare,2024,640,GV_OKP_300
BE,BE1_BAG,300,GV_HMO,Atupri,2018,424.5,GV_HMO_300
BE,BE1_BAG,300,GV_HMO,Helsana,2016,427.05,GV_HMO_300
BE,BE1_BAG,300,GV_Telmed,ÖKK,2016,417.1,GV_Telmed_300
BE,BE1_BAG,2500,GV_OKP,Moove Sympany,2016,380.7,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Rhenusana,2019,536.9,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,CSS,2019,475.4,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Rhenusana,2017,511.4,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,Sympany - Kolping,2021,668,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Telmed,Atupri,2020,317.5500031,GV_Telmed_2500
BE,BE1_BAG,300,GV_Hausarzt,Aquilana,2020,458.3999939,GV_Hausarzt_300
BE,BE1_BAG,300,GV_OKP,EGK-Gesundheitskasse,2023,540.4000244,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,KK Steffisburg,2023,402.2999878,GV_OKP_2500
BE,BE1_BAG,2500,GV_Telmed,Sodalis,2018,325.7,GV_Telmed_2500
BE,BE1_BAG,300,GV_Hausarzt,Sumiswalder KK,2018,458.3,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Hausarzt,Sumiswalder KK,2018,346.5,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_OKP,Helsana,2016,380.1,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Galenos,2016,464.1,GV_OKP_300
BE,BE1_BAG,2500,GV_Telmed,CSS,2016,358.6,GV_Telmed_2500
BE,BE1_BAG,300,GV_Hausarzt,Agrisano,2019,467.8,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Hausarzt,Sumiswalder KK,2019,474.9,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Hausarzt,Galenos,2021,445.6000061,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Telmed,Sympany - Vivao,2020,317.7000122,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Mutuel Assurance,2020,513.7999878,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Sodalis,2022,470.1999969,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Sodalis,2018,490.7,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,KVF,2018,447.8,GV_Hausarzt_300
BE,BE1_BAG,300,GV_HMO,CSS,2019,447.23,GV_HMO_300
BE,BE1_BAG,2500,GV_OKP,Arcosana,2016,344.8,GV_OKP_2500
BE,BE1_BAG,2500,GV_HMO,Provita,2017,322.7,GV_HMO_2500
BE,BE1_BAG,2500,GV_Telmed,CSS - Sanagate,2021,325.8999939,GV_Telmed_2500
BE,BE1_BAG,300,GV_Hausarzt,Concordia,2020,469.6000061,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,Slkk,2020,395.1000061,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,Swica,2020,346.3499908,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_OKP,Sana24,2022,544.5,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Sumiswalder KK,2023,389.7000122,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Intras,2018,406.1,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Galenos,2018,378.2,GV_OKP_2500
BE,BE1_BAG,300,GV_HMO,KPT,2016,380.9,GV_HMO_300
BE,BE1_BAG,2500,GV_Hausarzt,Philos,2018,345.53,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_OKP,Concordia,2016,374,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,KK Steffisburg,2019,369.3,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,Sanagate,2019,425.4,GV_Telmed_300
BE,BE1_BAG,300,GV_HMO,Sympany - Vivao,2019,436.3,GV_HMO_300
BE,BE1_BAG,2500,GV_OKP,CSS - Sanagate,2021,386.6000061,GV_OKP_2500
BE,BE1_BAG,2500,GV_Telmed,Slkk,2021,350.2000122,GV_Telmed_2500
BE,BE1_BAG,300,GV_Hausarzt,Sumiswalder KK,2022,461.2000122,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,KPT,2020,405.3999939,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,AMB,2020,549.7000122,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Visana,2022,464.3000031,GV_Telmed_300
BE,BE1_BAG,300,GV_HMO,ÖKK,2023,458.1000061,GV_HMO_300
BE,BE1_BAG,300,GV_OKP,Concordia,2018,512.5,GV_OKP_300
BE,BE1_BAG,300,GV_HMO,Provita,2018,451.2,GV_HMO_300
BE,BE1_BAG,300,GV_OKP,ÖKK,2018,494.8,GV_OKP_300
BE,BE1_BAG,300,GV_HMO,Sanitas,2018,434.2,GV_HMO_300
BE,BE1_BAG,2500,GV_Telmed,Mutuel Assurance,2016,272.4,GV_Telmed_2500
BE,BE1_BAG,2500,GV_Hausarzt,Sumiswalder KK,2017,316.6,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_HMO,Concordia,2021,340,GV_HMO_2500
BE,BE1_BAG,300,GV_Telmed,Sympany - Moove,2022,504.4666545,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Compact,2020,503.5,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Philos,2020,432.9000041,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,Mutuel Assurance,2020,449.5999959,GV_Telmed_300
BE,BE1_BAG,2500,GV_OKP,Sana24,2020,414.8999939,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,KK Steffisburg,2022,446.3999939,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,Vivacare,2024,599.5333252,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,Concordia,2024,498.2999878,GV_Telmed_300
BE,BE1_BAG,2500,GV_Telmed,Atupri,2023,362.2666626,GV_Telmed_2500
BE,BE1_BAG,2500,GV_Hausarzt,Atupri,2018,312.3,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Hausarzt,Easy Sana,2019,467.6,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Hausarzt,Provita,2017,440.7,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Hausarzt,KMU-Krankenversicherung,2016,480.2,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,Sanitas,2019,362.4,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,Sympany - Moove,2019,498.3,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,Rhenusana,2019,499.4,GV_Telmed_300
BE,BE1_BAG,2500,GV_OKP,CSS,2017,406.1,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,Sympany - Moove,2017,455.7,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Arcosana,2017,503.1,GV_OKP_300
BE,BE1_BAG,2500,GV_Hausarzt,ÖKK,2017,305.1,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Telmed,Visana,2021,469.1666667,GV_Telmed_300
BE,BE1_BAG,300,GV_Hausarzt,Philos,2021,454,GV_Hausarzt_300
BE,BE1_BAG,300,GV_OKP,KK Ingenbohl,2021,549.0999756,GV_OKP_300
BE,BE1_BAG,2500,GV_Telmed,Sympany - Moove,2022,382.5666707,GV_Telmed_2500
BE,BE1_BAG,300,GV_Hausarzt,Sumiswalder KK,2020,468.7000122,GV_Hausarzt_300
BE,BE1_BAG,300,GV_HMO,Swica,2020,423.3999939,GV_HMO_300
BE,BE1_BAG,2500,GV_Telmed,Helsana,2022,312.8000031,GV_Telmed_2500
BE,BE1_BAG,2500,GV_HMO,CSS,2024,372.4000041,GV_HMO_2500
BE,BE1_BAG,2500,GV_OKP,Mutuel Assurance,2023,424.5,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Concordia,2023,433.7999878,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,KK Steffisburg,2023,329.3999939,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,Vivacare,2019,372.6,GV_Telmed_2500
BE,BE1_BAG,2500,GV_Hausarzt,Galenos,2019,323.6,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_OKP,Sana24,2021,534.7999878,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,Sumiswalder KK,2024,519,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,Slkk,2023,505.6000061,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Hausarzt,Assura,2023,327.6000061,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,Intras,2017,356.2,GV_Telmed_2500
BE,BE1_BAG,2500,GV_HMO,KPT,2016,279.7,GV_HMO_2500
BE,BE1_BAG,300,GV_Hausarzt,Mutuel Assurance,2019,477.65,GV_Hausarzt_300
BE,BE1_BAG,300,GV_HMO,Vivacare,2016,424.5,GV_HMO_300
BE,BE1_BAG,300,GV_Telmed,Slkk,2019,490.7,GV_Telmed_300
BE,BE1_BAG,300,GV_Hausarzt,Galenos,2019,440.65,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,Agrisano,2017,373.9,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,Atupri,2022,350.1000061,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Hausarzt,KPT,2024,501.3500061,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Telmed,KVF,2019,492,GV_Telmed_300
BE,BE1_BAG,2500,GV_HMO,ÖKK,2019,313.2,GV_HMO_2500
BE,BE1_BAG,2500,GV_OKP,KPT,2016,337,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Supra,2017,471.6,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,KPT,2021,527.2999878,GV_OKP_300
BE,BE1_BAG,2500,GV_Hausarzt,Sumiswalder KK,2021,365.6000061,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_OKP,Sympany - Vivao,2022,492,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Sympany - Moove,2022,455.7000122,GV_OKP_2500
BE,BE1_BAG,300,GV_Hausarzt,Avenir,2023,480.8500061,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Hausarzt,Rhenusana,2018,373.8,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,Helsana,2019,332.55,GV_Telmed_2500
BE,BE1_BAG,2500,GV_HMO,Sympany,2016,282.8,GV_HMO_2500
BE,BE1_BAG,2500,GV_OKP,CSS,2019,408.9,GV_OKP_2500
BE,BE1_BAG,300,GV_HMO,Sanitas,2017,418.3,GV_HMO_300
BE,BE1_BAG,300,GV_Telmed,Rhenusana,2021,524.0999756,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,KVF,2020,505.4000092,GV_Telmed_300
BE,BE1_BAG,300,GV_Hausarzt,Vita Surselva,2020,512.9000244,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_HMO,Sympany - Vivao,2023,331.7000122,GV_HMO_2500
BE,BE1_BAG,2500,GV_Hausarzt,KPT,2018,316.3,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_HMO,Visana,2018,431.4,GV_HMO_300
BE,BE1_BAG,2500,GV_OKP,Arcosana,2018,383.8,GV_OKP_2500
BE,BE1_BAG,2500,GV_Telmed,CSS,2018,356.1,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Sodalis,2016,440.9,GV_OKP_300
BE,BE1_BAG,2500,GV_HMO,Kolping,2016,436.2,GV_HMO_2500
BE,BE1_BAG,300,GV_OKP,Atupri,2021,515.0999756,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Sumiswalder KK,2021,472.8999939,GV_Telmed_300
BE,BE1_BAG,300,GV_HMO,Sympany - Vivao,2021,434.6000061,GV_HMO_300
BE,BE1_BAG,300,GV_OKP,KK Steffisburg,2020,503.3999939,GV_OKP_300
BE,BE1_BAG,2500,GV_Telmed,Sodalis,2024,396.3499908,GV_Telmed_2500
BE,BE1_BAG,300,GV_Telmed,Vivacare,2023,548.7666626,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Arcosana,2018,503.1,GV_OKP_300
BE,BE1_BAG,2500,GV_Telmed,Avenir,2018,333.9,GV_Telmed_2500
BE,BE1_BAG,300,GV_Telmed,Swica,2016,384.35,GV_Telmed_300
BE,BE1_BAG,2500,GV_OKP,Helsana,2021,391.2999878,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,CSS - Sanagate,2020,338.2000122,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,CSS,2020,353.6000061,GV_Telmed_2500
BE,BE1_BAG,300,GV_HMO,Sympany - Vivao,2020,432.2000122,GV_HMO_300
BE,BE1_BAG,2500,GV_Telmed,CSS,2022,351.1000061,GV_Telmed_2500
BE,BE1_BAG,300,GV_Telmed,Sana24,2023,511.4666748,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Concordia,2023,555,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Swica,2019,409.8,GV_OKP_2500
BE,BE1_BAG,300,GV_Hausarzt,KPT,2019,450.3,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,KPT,2021,405.3999939,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,Sympany - Kolping,2022,482.2000122,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_OKP,Atupri,2020,383.2000122,GV_OKP_2500
BE,BE1_BAG,300,GV_HMO,ÖKK,2024,507.8999939,GV_HMO_300
BE,BE1_BAG,2500,GV_Hausarzt,KK Luzerner Hinterland,2023,417.5499878,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_HMO,Sanitas,2023,436.2000122,GV_HMO_300
BE,BE1_BAG,300,GV_Hausarzt,Sympany - Moove,2023,519.9000244,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Telmed,Helsana,2016,442,GV_Telmed_300
BE,BE1_BAG,300,GV_Hausarzt,Mutuel Assurance,2018,473.4,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Telmed,Swica,2018,310.9,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Aquilana,2016,452.8,GV_OKP_300
BE,BE1_BAG,2500,GV_Telmed,Compact,2017,245.4,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Sanagate,2017,503.1,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,Sympany - Moove,2021,577.5999756,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Agrisano,2020,378.3999939,GV_OKP_2500
BE,BE1_BAG,2500,GV_Telmed,Sodalis,2020,352.6000061,GV_Telmed_2500
BE,BE1_BAG,300,GV_HMO,Visana,2024,500.75,GV_HMO_300
BE,BE1_BAG,300,GV_Telmed,Rhenusana,2024,583.4000244,GV_Telmed_300
BE,BE1_BAG,2500,GV_HMO,ÖKK,2023,338.7999878,GV_HMO_2500
BE,BE1_BAG,300,GV_OKP,Compact,2018,491.2,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Atupri,2019,444.5,GV_Telmed_300
BE,BE1_BAG,2500,GV_Telmed,Helsana,2017,328.15,GV_Telmed_2500
BE,BE1_BAG,2500,GV_Hausarzt,Supra,2016,248.4,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_OKP,Mutuel Assurance,2019,409.6,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Concordia,2019,413,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,CSS - Intras,2019,406.1,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,ÖKK,2019,389.4,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Avenir,2017,461.3,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,Swica,2021,457.75,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Hausarzt,Helsana,2024,366.5799927,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_OKP,Sodalis,2023,548.0999756,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,Avenir,2018,510.4,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Sympany - Moove,2018,469.9,GV_Telmed_300
BE,BE1_BAG,2500,GV_Hausarzt,Arcosana,2018,333.5,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Hausarzt,Galenos,2018,308.5,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Hausarzt,Sympany - Moove,2019,384.9,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_HMO,Sympany - Vivao,2017,297.3,GV_HMO_2500
BE,BE1_BAG,300,GV_OKP,ÖKK,2016,455.7,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Klug,2017,430.9,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,EGK-Gesundheitskasse,2021,351.6000061,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Telmed,CSS - Arcosana,2020,451.8999939,GV_Telmed_300
BE,BE1_BAG,300,GV_Hausarzt,CSS,2022,457.3499908,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_HMO,Concordia,2022,328.6000061,GV_HMO_2500
BE,BE1_BAG,2500,GV_Hausarzt,Vivacare,2023,419.0499878,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_HMO,CSS,2017,319.06,GV_HMO_2500
BE,BE1_BAG,2500,GV_HMO,KVF,2018,323.6,GV_HMO_2500
BE,BE1_BAG,2500,GV_OKP,Wincare,2016,425.8,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,KK Steffisburg,2019,312.9,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Hausarzt,Intras,2017,472.9,GV_Hausarzt_300
BE,BE1_BAG,300,GV_OKP,Sympany - Moove,2017,517.8,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Progrès,2021,365.2999878,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Assura,2021,489.8999939,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,KPT,2021,446.2000122,GV_Telmed_300
BE,BE1_BAG,2500,GV_HMO,Swica,2020,319.8999939,GV_HMO_2500
BE,BE1_BAG,2500,GV_OKP,Concordia,2022,416.3999939,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Concordia,2024,461.5,GV_OKP_2500
BE,BE1_BAG,2500,GV_HMO,KPT,2024,396.2999878,GV_HMO_2500
BE,BE1_BAG,300,GV_Telmed,KPT,2024,529.9000244,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Sympany - Moove,2023,577.5999756,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,KK Ingenbohl,2018,528.2,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,Sympany - Kolping,2018,719.9,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,ÖKK,2018,445.3,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,Sana24,2019,410.6,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Helsana,2017,490.2,GV_OKP_300
BE,BE1_BAG,2500,GV_HMO,Swica,2021,319.8999939,GV_HMO_2500
BE,BE1_BAG,300,GV_OKP,ÖKK,2021,508.7999878,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Swica,2022,412.6000061,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Assura,2024,450.7000122,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,Aquilana,2023,440.3999939,GV_Telmed_300
BE,BE1_BAG,2500,GV_OKP,Aquilana,2018,364.4,GV_OKP_2500
BE,BE1_BAG,300,GV_HMO,Atupri,2019,444.6,GV_HMO_300
BE,BE1_BAG,2500,GV_Telmed,CSS - Intras,2019,358.8,GV_Telmed_2500
BE,BE1_BAG,2500,GV_OKP,Vita Surselva,2019,412.55,GV_OKP_2500
BE,BE1_BAG,2500,GV_Telmed,Avenir,2021,331.8666789,GV_Telmed_2500
BE,BE1_BAG,300,GV_HMO,Atupri,2021,453.3999939,GV_HMO_300
BE,BE1_BAG,300,GV_Telmed,CSS,2020,472.8999939,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,CSS - Intras,2020,537.5,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Agrisano,2022,406,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Helsana,2024,430.3999939,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Aquilana,2017,461.9,GV_OKP_300
BE,BE1_BAG,2500,GV_Telmed,Sympany - Moove,2017,333.8,GV_Telmed_2500
BE,BE1_BAG,300,GV_Telmed,KK Steffisburg,2021,446.3999939,GV_Telmed_300
BE,BE1_BAG,2500,GV_Hausarzt,ÖKK,2021,338.6000061,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_HMO,CSS,2021,322.3214242,GV_HMO_2500
BE,BE1_BAG,2500,GV_OKP,Vivacare,2022,442.7000122,GV_OKP_2500
BE,BE1_BAG,2500,GV_Hausarzt,Sympany - Vivao,2020,312.8500061,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Hausarzt,Slkk,2020,340.2000122,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Telmed,Helsana,2023,469.1500092,GV_Telmed_300
BE,BE1_BAG,300,GV_OKP,Agrisano,2018,500.3,GV_OKP_300
BE,BE1_BAG,2500,GV_HMO,Visana,2018,323.1,GV_HMO_2500
BE,BE1_BAG,2500,GV_Hausarzt,Assura,2017,263.15,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,KPT,2018,320.05,GV_Telmed_2500
BE,BE1_BAG,2500,GV_OKP,Sanagate,2016,351.3,GV_OKP_2500
BE,BE1_BAG,2500,GV_HMO,Provita,2016,288.3,GV_HMO_2500
BE,BE1_BAG,2500,GV_HMO,KPT,2019,320.7,GV_HMO_2500
BE,BE1_BAG,300,GV_Hausarzt,Rhenusana,2017,477.6,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Hausarzt,Supra,2017,281.6,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Telmed,CSS - Arcosana,2021,446.1000061,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,Swica,2022,448.1999969,GV_Telmed_300
BE,BE1_BAG,2500,GV_Telmed,Visana,2022,344.3999939,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Avenir,2022,521.5999756,GV_OKP_300
BE,BE1_BAG,300,GV_Telmed,Compact,2018,417.6,GV_Telmed_300
BE,BE1_BAG,300,GV_Telmed,Provita,2016,385.4,GV_Telmed_300
BE,BE1_BAG,2500,GV_Telmed,Slkk,2019,370.1,GV_Telmed_2500
BE,BE1_BAG,300,GV_HMO,Provita,2017,427.9,GV_HMO_300
BE,BE1_BAG,300,GV_OKP,Agrisano,2022,527.9000244,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,Aquilana,2022,372,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,ÖKK,2018,375.5,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Easy Sana,2019,516.6,GV_OKP_300
